venue_name,venue_type,address,city,phone,website,fish,price_low,price_high,sides,hours,all_you_can_eat,takeout,tier,description,photo_url,menu_url,featured_this_week,editor_note,active
Aftershock Bar & Grill,bar,1418 Lenard St,Wausau,715-298-5015,https://www.facebook.com/AftershockWausau/,"perch, shrimp",10,20,,Fri 2PM-2:30AM,FALSE,FALSE,free,,,,FALSE,"On the Wausau Friday Fish Fry Guide with matching address/phone. Friday fry described as shrimp and perch. Neighborhood bar with banquet hall, pool, darts, patio. Listed hours are bar hours - confirm the fry window.",TRUE
American Legion Post 175,vfw_legion,302 N Union St,Loyal,715-255-8373,https://loyalamericanlegion.com/,cod,10,20,,Fri 4:30PM-7:30PM,FALSE,FALSE,free,,,,FALSE,"HOLD - monthly, not weekly. OUTSIDE MARATHON COUNTY (Clark). MONTHLY, NOT WEEKLY - the post's own page is titled 'Monthly Fish Fry', calendar shows single Fridays. Currently 'Closed for the summer, Fish Fry will resume this fall' so roughly fall through spring. Deep fried or baked fish and/or shrimp, baked potato or fries, salad bar. The Loyal chamber's 'Every Friday Night' claim conflicts with the post's own site and appears stale. Far outside the footprint.",FALSE
American Legion Post 73,vfw_legion,6 Boon Blvd,Neillsville,715-743-3859,https://www.facebook.com/neillsvillelegion/,"cod, shrimp",10,20,,Fri 4:30PM-7:30PM,FALSE,FALSE,free,,,,FALSE,"HOLD - 50 minutes from Wausau. OUTSIDE MARATHON COUNTY (Clark). STRONGEST CONFIRMED HALL FRY ANYWHERE IN THE SWEEP and the only weekly year-round one. Baked or deep-fried cod, shrimp, chicken strips, steak, burgers; fries or potato salad, rye bread, salad bar. Facebook posts in Feb AND Sept confirm not Lent-only. Public dining per the city directory and Clark County Tourism; Tavern League member. Verified active on Google Maps (4.7, 96 reviews). CAVEAT: Neillsville is ~50 minutes southwest of Wausau, well outside the current footprint.",FALSE
Ashley Tavern & Ballroom,bar,201100 County Road X,Mosinee,715-693-3261,https://ashleytavern.com/,"perch, walleye, haddock, shrimp",10,20,,Fri 5PM-8PM,FALSE,FALSE,free,,,,FALSE,"Own website publishes the full fish fry. Serving since 1926. Haddock baked or fried 2pc $9.50 / 3pc $11.50, 7pc shrimp $13.50, walleye $18. Coleslaw, bread, fries or potato salad. Dine-in or takeout. Attached ballroom - good sponsor story.",TRUE
Athens Country Cafe,restaurant,220 Alfred St,Athens,,https://www.facebook.com/p/Athens-Country-Cafe-100075997114671/,cod,10,20,,Fri 6:30AM-7PM,FALSE,FALSE,free,,,,FALSE,"Home-style cafe. Tue-Sat 6:30AM-2PM but Friday extends to 7PM - the Friday-only evening hours corroborate the fry. Reviews cite crispy fish, homemade bread, coleslaw, tartar. No phone from a reliable source.",TRUE
Ballyhoos,bar,124 N Prospect St,Merrill,715-536-7600,https://merrillballyhoos.com/,haddock,10,20,,Fri 11AM-11PM,FALSE,FALSE,free,,,,FALSE,"OUTSIDE MARATHON COUNTY (Lincoln). Haddock fry with fries, twice-baked potato or wedges, coleslaw and dinner roll, from their own site. Downtown Merrill with real web presence - likely paid-tier prospect. Already in WPR's Lenten guide.",TRUE
Bar B's Sunset Bay Grill,bar,1135 County Road DB,Mosinee,715-496-0362,,cod,10,20,,Fri 3PM-10PM,FALSE,FALSE,free,,,,FALSE,HOLD - county unverified (Lake DuBay tri-county corner). COUNTY CHECK NEEDED. On Lake DuBay with boat docking; Friday fish fry cited. Some directories place it in Portage or Wood County - Lake DuBay is at the three-county corner. Confirm Marathon County before listing.,FALSE
Blue Willow Cafe,restaurant,1111 N 4th Ave,Wausau,715-675-4543,https://www.facebook.com/BlueWillowCafe/,"walleye, cod",10,20,,Fri 6AM-9PM,FALSE,FALSE,free,,,,FALSE,"HOLD - fish may be an everyday item, not a Friday fry. Neighborhood breakfast/comfort-food cafe. On the Wausau Friday Fish Fry Guide; menu cites pan-fried walleye and cod. FRIDAY-SPECIFIC TIMING NOT CONFIRMED - fish may be an everyday item. Verify before publishing.",FALSE
Bob & Randy's Bar,bar,1515 N 6th St,Wausau,715-845-9079,https://bobandrandys.com/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"NEEDS HOURS before activating. Also 'The B&R'. Near-north-side corner bar and grill. Known for the EURO pizza, fresh-cut fries and Krueger's Bakery buns - good description material. Get the fry window and species.",FALSE
Boozer's Bar & Grill,bar,810 E Center Ave,Dorchester,715-654-5402,,cod,10,20,,Fri 11AM-2AM,FALSE,FALSE,free,,,,FALSE,"OUTSIDE MARATHON COUNTY (Clark (entirely)). Panko-breaded cod with twice-baked potato and seafood bisque; fish Fridays, prime rib Saturdays. One aggregator calls it among the best Friday frys in the Wausau area. Listed hours are bar hours.",TRUE
