venue_name,venue_type,address,city,phone,website,fish,price_low,price_high,sides,hours,all_you_can_eat,takeout,tier,description,photo_url,menu_url,featured_this_week,editor_note,active
21 Pub,bar,18 Brown Blvd,Rothschild,,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. Well-reviewed (4.7) Rothschild pub. No menu info, no phone sourced.",FALSE
51 Bar & Grill,bar,1718 Old Hwy 51,Kronenwetter,715-693-6123,https://www.facebook.com/51barandgrill/,cod,10,20,,Fri 11AM-2:30AM,FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. One of only three Kronenwetter drinking establishments. A directory blurb mentions Friday fish frys but reads AI-generated; no primary source. 2026 review praises the walleye sandwich. Worth one call given Kronenwetter coverage. Closed Tuesdays.,FALSE
Abby Cafe,restaurant,206 E Spruce St,Abbotsford,715-223-3943,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. OUTSIDE MARATHON COUNTY (Clark/Marathon (Abbotsford straddles)). Only signal is the crowdsourced Clark guide. Small-town cafe, plausible but unverified.",FALSE
Ashley Tavern & Ballroom,bar,201100 County Road X,Mosinee,715-693-3261,https://ashleytavern.com/,"perch, walleye, haddock, shrimp",10,20,,Fri 5PM-8PM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. Own website publishes the full fish fry. Serving since 1926. Haddock baked or fried 2pc $9.50 / 3pc $11.50, 7pc shrimp $13.50, walleye $18. Coleslaw, bread, fries or potato salad. Dine-in or takeout. Attached ballroom - good sponsor story.",FALSE
Athens Country Cafe,restaurant,220 Alfred St,Athens,,https://www.facebook.com/p/Athens-Country-Cafe-100075997114671/,cod,10,20,,Fri 6:30AM-7PM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. Home-style cafe. Tue-Sat 6:30AM-2PM but Friday extends to 7PM - the Friday-only evening hours corroborate the fry. Reviews cite crispy fish, homemade bread, coleslaw, tartar. No phone from a reliable source.",FALSE
Ballyhoos,bar,124 N Prospect St,Merrill,715-536-7600,https://merrillballyhoos.com/,haddock,10,20,,Fri 11AM-11PM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. OUTSIDE MARATHON COUNTY (Lincoln). Haddock fry with fries, twice-baked potato or wedges, coleslaw and dinner roll, from their own site. Downtown Merrill with real web presence - likely paid-tier prospect. Already in WPR's Lenten guide.",FALSE
Bar B's Sunset Bay Grill,bar,1135 County Road DB,Mosinee,715-496-0362,,cod,10,20,,Fri 3PM-10PM,FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. COUNTY CHECK NEEDED. On Lake DuBay with boat docking; Friday fish fry cited. Some directories place it in Portage or Wood County - Lake DuBay is at the three-county corner. Confirm Marathon County before listing.,FALSE
Boozer's Bar & Grill,bar,810 E Center Ave,Dorchester,715-654-5402,,cod,10,20,,Fri 11AM-2AM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. OUTSIDE MARATHON COUNTY (Clark (entirely)). Panko-breaded cod with twice-baked potato and seafood bisque; fish Fridays, prime rib Saturdays. One aggregator calls it among the best Friday frys in the Wausau area. Listed hours are bar hours.",FALSE
Buck-A-Neer Supper Club,supper_club,122923 County Rd C,Stratford,715-384-2629,,cod,10,20,,Fri 4PM-9PM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. Stratford mailing address but physically in Rozellville (Town of Day). Building dates to the 1800s as a blacksmith/buggy shop - the fireplace was the forge, horses tied at what is now the back bar. Reservations advised Fridays. Great story for a featured slot.",FALSE
Buckhorn Bar,bar,F4298 Maplenut Rd,Colby,715-897-1517,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. OUTSIDE MARATHON COUNTY (Clark (Colby straddles)). Clark guide lists it as 'Norm's Buckhorn Bar' - NOT the same as the Rothschild 'Norm's' already in the guide, but check. Phone conflict (715-897-1517 vs 715-223-8813). Rural fire-number address.",FALSE
Chang's Half Moon Lakeview Bar & Grill,bar,147707 Half Moon Lake Dr,Mosinee,715-693-1900,https://www.facebook.com/ChangsLanding,cod,10,20,,Fri 4PM-1AM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. On Half Moon Bay with boat landing, next door to Pinewood Supper Club. Breaded and beer-battered options cited. 'A Hmong twist on an old classic' - distinctive listing. Species not sourced. Closed Mon-Tue.",FALSE
Charlies Bar & Grill,bar,144746 County Rd N,Marathon City,715-443-0030,https://www.facebook.com/p/Charlies-Bar-100057508147207/,cod,10,20,,Fri 11AM-2AM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. Rural bar & grill on County Rd N outside Marathon City, listed with a popular Friday fish fry. Also on DoorDash as 'Charlie's Bar and Grill'. Species and price unknown.",FALSE
