2510 Restaurant,restaurant,2510 Stewart Ave,Wausau,715-845-2510,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
4 Father's Pub,bar,1724 Merrill Ave,Wausau,715-841-0035,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Arrow Sports Bar & Grill,bar,6202 Schofield Ave,Schofield,715-359-2363,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Back When Cafe,restaurant,606 N 3rd St,Wausau,715-848-5668,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
BB Jacks Pizza & Sandwich Lounge,restaurant,900 Golf Club Rd,Wausau,715-675-2460,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Blissful Bites & Brunch,restaurant,1490 County Rd XX,Rothschild,715-393-4409,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Carmelo's Italian Restaurant,restaurant,3607 N Mountain Rd,Wausau,715-845-5570,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. 4th in the 2026 reader poll.",FALSE
Cassel Bar & Grill,bar,130665 County Road N,Marathon City,715-352-3701,,"haddock, perch, shrimp",10,20,German potato salad (family recipe),Fri from 11 AM (confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. Runner-up, 2026 reader poll. Haddock comes baked or fried.",FALSE
Cedar Creek Grill House,restaurant,1000 Imperial Ave,Rothschild,715-355-9200,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating.",FALSE
Cheeks Bar & Grill,bar,158241 E Wausau Ave,Wausau,715-393-4026,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"UNVERIFIED IMPORT - confirm fish, prices, hours before activating. Tied 6th in the 2026 reader poll.",FALSE
