venue_name,venue_type,address,city,phone,website,fish,price_low,price_high,sides,hours,all_you_can_eat,takeout,tier,description,photo_url,menu_url,featured_this_week,editor_note,active
Aftershock Bar & Grill,bar,1418 Lenard St,Wausau,715-298-5015,https://www.facebook.com/AftershockWausau/,"perch, shrimp",10,20,,Fri 2PM-2:30AM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. On the Wausau Friday Fish Fry Guide with matching address/phone. Friday fry described as shrimp and perch. Neighborhood bar with banquet hall, pool, darts, patio. Listed hours are bar hours - confirm the fry window.",FALSE
American Legion Post 175,vfw_legion,302 N Union St,Loyal,715-255-8373,https://loyalamericanlegion.com/,cod,10,20,,Fri 4:30PM-7:30PM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. OUTSIDE MARATHON COUNTY (Clark). MONTHLY, NOT WEEKLY - the post's own page is titled 'Monthly Fish Fry', calendar shows single Fridays. Currently 'Closed for the summer, Fish Fry will resume this fall' so roughly fall through spring. Deep fried or baked fish and/or shrimp, baked potato or fries, salad bar. The Loyal chamber's 'Every Friday Night' claim conflicts with the post's own site and appears stale. Far outside the footprint.",FALSE
American Legion Post 73,vfw_legion,6 Boon Blvd,Neillsville,715-743-3859,https://www.facebook.com/neillsvillelegion/,"cod, shrimp",10,20,,Fri 4:30PM-7:30PM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. OUTSIDE MARATHON COUNTY (Clark). STRONGEST CONFIRMED HALL FRY ANYWHERE IN THE SWEEP and the only weekly year-round one. Baked or deep-fried cod, shrimp, chicken strips, steak, burgers; fries or potato salad, rye bread, salad bar. Facebook posts in Feb AND Sept confirm not Lent-only. Public dining per the city directory and Clark County Tourism; Tavern League member. Verified active on Google Maps (4.7, 96 reviews). CAVEAT: Neillsville is ~50 minutes southwest of Wausau, well outside the current footprint.",FALSE
Blue Willow Cafe,restaurant,1111 N 4th Ave,Wausau,715-675-4543,https://www.facebook.com/BlueWillowCafe/,"walleye, cod",10,20,,Fri 6AM-9PM,FALSE,FALSE,free,,,,FALSE,CANDIDATE - verify before activating. Neighborhood breakfast/comfort-food cafe. On the Wausau Friday Fish Fry Guide; menu cites pan-fried walleye and cod. FRIDAY-SPECIFIC TIMING NOT CONFIRMED - fish may be an everyday item. Verify before publishing.,FALSE
Bob & Randy's Bar,bar,1515 N 6th St,Wausau,715-845-9079,https://bobandrandys.com/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. Also 'The B&R'. Near-north-side corner bar and grill. Known for the EURO pizza, fresh-cut fries and Krueger's Bakery buns - good description material. Get the fry window and species.",FALSE
Bunkers,restaurant,1000 Golf Club Rd,Wausau,,https://www.golfinwausau.com/,bluegill,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. Bar/restaurant in the clubhouse of Tribute Golf Course, a PUBLIC course - open to non-golfers. Bluegill fry is the named dish; bluegill is rare in the metro and would stand out in the fish filter. ADDRESS CONFLICT 1000 vs 1001 Golf Club Rd. PHONE BLANK - every number found was shared with the Legion post or pro shop.",FALSE
Burns VFW Post 388,vfw_legion,212 E Randolph St,Wausau,715-842-0388,https://sites.google.com/view/vfw388,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. HIGHEST-VALUE UNCONTACTED LEAD IN WAUSAU. Verified open on Google Maps (4.1, 15 reviews) with reviews citing 'Nice bar and good food' and hall rental - so it has a real bar, kitchen and hall. Weekly public Wednesday bingo. No fish fry mentioned anywhere. A post with a bar and kitchen in the middle of Wausau is exactly the profile that runs an unadvertised Friday fry. Alternate phone 715-355-8788.",FALSE
Chellis Street Pub,bar,265 Chellis St,Wausau,,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. Directory listing only - no phone, menu, hours or web presence. PHONE BLANK rather than guessed. Lowest-signal entry; included for completeness.",FALSE
Christine's Bar,bar,936 S 3rd Ave,Wausau,715-870-2929,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. HIGH-VALUE CALL. Bar & grill with a Southeast Asian menu (Beef Laab, crispy gizzards) - exactly the Hmong/Lao neighborhood-tavern category no guide has reached. If it runs a Friday fry it would be a genuinely distinctive listing.",FALSE
Cliffhangers,bar,425 Grand Ave,Schofield,715-355-9944,https://www.facebook.com/people/Cliffhangers-bar/100063695734369/,cod,10,20,,Fri 3PM-2:30AM,FALSE,FALSE,free,,,,FALSE,"CANDIDATE - verify before activating. FISH FRY NOT CONFIRMED - call first. One of only four Schofield taverns and the only one besides Day Break with documented food. Menu shows pizza and fried apps including deep fried shrimp, so there is a fryer. No fry mentioned. Worth one call to close out Schofield.",FALSE
