venue_name,venue_type,address,city,phone,website,fish,price_low,price_high,sides,hours,all_you_can_eat,takeout,tier,description,photo_url,menu_url,featured_this_week,editor_note,active
Abbyland Family Restaurant,restaurant,219 Plaza Dr,Curtiss,715-223-6666,http://www.abbylandtravelcenter.com/page/restaurant,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,[33 mi from Wausau; FISH FRY NOT CONFIRMED - call first; FISH SPECIES UNVERIFIED - defaulted to cod] [Truck-stop family restaurant at the Abbyland Travel Center. On the crowdsourced guide but the venue's own page advertises only all-day breakfast and general dining. Worth a call purely for the short distance.],FALSE
AKA Lakeside,bar,N8560 Hay Creek Rd,Willard,715-267-6432,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,[57 mi from Wausau; NEEDS HOURS before activating; OUTSIDE THE 45-MILE RADIUS - editorial call] [On Rock Dam Lake. Reviews cite a Friday fry with cod. Confirmed still operating in the county EDC 2026 directory and the City of Greenwood dining list.],FALSE
Amy's Roadhouse,bar,W8916 Oak Ave,Shawano,,https://www.facebook.com/p/Amys-Roadhouse-100064637962329/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,[57 mi from Wausau; NEEDS HOURS before activating; OUTSIDE THE 45-MILE RADIUS - editorial call; FISH SPECIES UNVERIFIED - defaulted to cod] [Country bar outside Shawano; 'nice Friday night fish fry' per directory and reviews. Phone not reliably sourced.],FALSE
Apple Valley Road Haus and Event Center,restaurant,415 W US Highway 10,Neillsville,715-743-4900,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,[61 mi from Wausau; NEEDS HOURS before activating; OUTSIDE THE 45-MILE RADIUS - editorial call] [Deep-fried cod and a baked lemon-pepper option on the Friday fry. Also an event center. Phone confirmed against the Clark County EDC 2026 directory.],FALSE
B's Nest,bar,1404 W Main St,Merrill,715-722-1211,https://www.facebook.com/BsNestMerrill/,perch,10,20,,Fri 11AM-11PM,FALSE,FALSE,free,,,,FALSE,"Perch is the Friday headliner. [18 mi from Wausau] [Friday night PERCH fish fry specifically called out. Owner is a Lincoln County Tavern League director. Occupies the former DAT Bar location, so older DAT Bar references point here.]",TRUE
Bamboo Bar,bar,W5884 Cedar Court,Shawano,715-201-1158,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"[67 mi from Wausau; NEEDS HOURS before activating; OUTSIDE THE 45-MILE RADIUS - editorial call; FISH SPECIES UNVERIFIED - defaulted to cod] [The only bar directly ON Shawano Lake - reachable by boat, car, motorcycle or snowmobile. Friday fry with outdoor lakefront seating. Strong editorial hook.]",FALSE
Behind Barr's Bar & Grill,bar,N9302 County Road O,Greenwood,715-267-6733,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"[47 mi from Wausau; NEEDS HOURS before activating; OUTSIDE THE 45-MILE RADIUS - editorial call; FISH SPECIES UNVERIFIED - defaulted to cod] [Country bar outside Greenwood, cited for a 'famous Friday fish fry'. Phone per Clark County EDC 2026 (the fish fry guide's number looks stale).]",FALSE
Besse's On Clear Lake,supper_club,W6041 Northern Lights Cir,Tomahawk,715-453-2339,,cod,10,20,,Fri 5PM-9PM,FALSE,FALSE,free,,,,FALSE,"Northwoods supper club on Clear Lake, known equally for prime rib. [52 mi from Wausau; FISH SPECIES UNVERIFIED - defaulted to cod] [Northwoods supper club in the Heafford Junction area, on Clear Lake. Known for prime rib and fish fry. Closed Mon and Sun.]",TRUE
Bill's Bar,bar,N1594 State Hwy 64 E,Merrill,715-218-1038,https://www.facebook.com/billsbarpineriver/,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,[22 mi from Wausau; FISH FRY NOT CONFIRMED - call first; FISH SPECIES UNVERIFIED - defaulted to cod] [Country bar east of Merrill toward Pine River; owner is president of the Lincoln County Tavern League chapter. Serves food but no fry confirmed - needs a call.],FALSE
Billy Bob's Sports Bar & Grill,bar,N12025 County Hwy L,Tomahawk,715-453-4984,https://billybobssportsbarandgrill.com/,cod,10,20,,Fri 11AM-10PM,FALSE,FALSE,free,,,,FALSE,"Fish fry served all day Friday, north of town toward Lake Nokomis. [51 mi from Wausau; FISH SPECIES UNVERIFIED - defaulted to cod] [Tavern League member, explicitly listed with Friday fish fry served all day. North of Tomahawk toward Lake Nokomis.]",TRUE
Blazer's Bar & Grill,bar,N3189 County Rd SS,Tigerton,715-535-2001,https://www.facebook.com/profile.php?id=100035080946205,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"[33 mi from Wausau; NEEDS HOURS before activating; FISH SPECIES UNVERIFIED - defaulted to cod] [Ranked #1 of 4 restaurants in Tigerton. Friday fish fry with homemade tartar, $10-20. CLOSEST SHAWANO VENUE TO WAUSAU - strongest editorial fit in this batch.]",FALSE
Blue Mirror Bar & Bowl,bar,211 S Main St,Greenwood,715-267-6175,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"[50 mi from Wausau; FISH FRY NOT CONFIRMED - call first; OUTSIDE THE 45-MILE RADIUS - editorial call; FISH SPECIES UNVERIFIED - defaulted to cod] [Bar and bowling alley, known locally for the Blue Mirror Burger. Phone conflict: city page 715-267-6175 vs county EDC 715-267-6359 - verify.]",FALSE
Bottoms Up Bar & Grill,bar,4096 County Rd A,Tomahawk,715-224-2480,,haddock,10,20,,Fri 11AM-11PM,TRUE,FALSE,free,,,,FALSE,"Fish fry buffet on Lake Alice - the 14-oz baked haddock is the signature. Patio and boat landing. [42 mi from Wausau] [On Lake Alice with patio and boat landing. Friday fish fry BUFFET; 14 oz baked haddock is the signature. Do not confuse with a same-named bar in Winter, WI. Detail sourced from wiscobars.com/bars/tomahawk/bottoms-up-bar-grill.]",TRUE
Brothers' Pub,bar,N5867 Lake Dr,Shawano,715-524-5212,https://www.facebook.com/brotherspub2015,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,[66 mi from Wausau; NEEDS HOURS before activating; OUTSIDE THE 45-MILE RADIUS - editorial call; FISH SPECIES UNVERIFIED - defaulted to cod] [Shawano Lake Drive pub; Friday fish fry listed in the Shawano Country chamber directory.],FALSE
Cal's Rock Dam Resort,bar,N8669 Butler Rd,Willard,715-267-6539,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,[57 mi from Wausau; FISH FRY NOT CONFIRMED - call first; OUTSIDE THE 45-MILE RADIUS - editorial call; FISH SPECIES UNVERIFIED - defaulted to cod] [NAME CONFLICT - the City of Greenwood dining page lists this address as 'Ernie's Rock Dam Saloon' while the county EDC directory still says Cal's. Verify the current name before publishing.],FALSE
Castaways Bar & Grill,bar,1315 S Tomahawk Ave,Tomahawk,715-453-8686,,"perch, haddock",10,20,,Fri 11AM-close,FALSE,FALSE,free,,,,FALSE,"On the Wisconsin River - arrive by car, boat, ATV or snowmobile. Haddock and perch. [45 mi from Wausau] [Waterfront on the Wisconsin River. Traditional Friday fry, 3-piece haddock around $14; perch also offered. Arrivals by boat, ATV/UTV and snowmobile.]",TRUE
Chili Corners Bar & Grill,bar,W894 US Highway 10,Chili,715-683-2818,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"[51 mi from Wausau; NEEDS HOURS before activating; OUTSIDE THE 45-MILE RADIUS - editorial call; FISH SPECIES UNVERIFIED - defaulted to cod] [Also Chili Corners Club. Decades-old crossroads bar on Hwy 10; Friday fry is its signature, corroborated by Travel Wisconsin, Tripadvisor and Yelp.]",FALSE
Cindy's,bar,307 N Washington St,Thorp,715-669-5801,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"[58 mi from Wausau; FISH FRY NOT CONFIRMED - call first; OUTSIDE THE 45-MILE RADIUS - editorial call; FISH SPECIES UNVERIFIED - defaulted to cod] [Casual downtown bar. On the crowdsourced guide only; reviews mention beer and bartenders, not food.]",FALSE
Club X to C Golf Course and Restaurant,restaurant,W890 County Rd C,Gleason,715-536-1546,https://clubxtoc.com/,cod,10,20,,Fri 3PM-10PM,TRUE,FALSE,free,,,,FALSE,"All-you-can-eat Friday fry at the golf clubhouse - fried fish, shrimp and chicken, plus a baked option. [26 mi from Wausau; FISH SPECIES UNVERIFIED - defaulted to cod] [Golf clubhouse restaurant with an ALL-YOU-CAN-EAT Friday fish fry - fried fish, shrimp and chicken plus a baked option. Detail sourced from clubxtoc.com.]",TRUE
Coachlight Bar & Grill,bar,W5814 Lake Dr,Shawano,,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"[66 mi from Wausau; NEEDS HOURS before activating; OUTSIDE THE 45-MILE RADIUS - editorial call; FISH SPECIES UNVERIFIED - defaulted to cod] [Shawano Lake Drive bar, repeatedly named among the area's best Friday fries. Phone not reliably sourced.]",FALSE
Cotton Patch Supper Club,supper_club,W4890 Lake Dr,Shawano,715-745-2101,https://cottonpatchshawano.wixsite.com/cottonpatch,cod,10,20,,Thu-Sun 11AM-close,FALSE,FALSE,free,,,,FALSE,"[66 mi from Wausau; OUTSIDE THE 45-MILE RADIUS - editorial call; FISH SPECIES UNVERIFIED - defaulted to cod] [Own site advertises Friday Night fish fry selections, but YELP CARRIES A CLOSED FLAG - verify it is still trading. Ignore menupix's Texas-style menu, that is scraper contamination from a different Cotton Patch.]",FALSE
Dixon's Torchlite,restaurant,1276 E Green Bay St,Shawano,,,cod,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,[61 mi from Wausau; NEEDS HOURS before activating; OUTSIDE THE 45-MILE RADIUS - editorial call; FISH SPECIES UNVERIFIED - defaulted to cod] [Italian-leaning supper-club style restaurant; Friday fry reported. Phone not reliably sourced - former domain expired.],FALSE
Dockers on the Corner,bar,N5846 Lake Dr,Shawano,,https://www.facebook.com/Dockersonthecorner/,haddock,10,20,,Fri (call to confirm),FALSE,FALSE,free,,,,FALSE,"[66 mi from Wausau; NEEDS HOURS before activating; OUTSIDE THE 45-MILE RADIUS - editorial call] [Occupies the former Spinning Wheel Inn building (sold 2021) - do NOT also list Spinning Wheel Inn, it is closed. ALL-YOU-CAN-EAT Friday fish fry, haddock signature. Phone blank: the listed 920-819-7644 is a reservation service, not a Shawano line.]",FALSE
Fannie's Supper Club & Motel,supper_club,W3741 US Highway 10,Neillsville,715-743-2169,https://www.fanniessupperclub.com/,walleye,10,20,,Tue-Sat from 4PM,FALSE,FALSE,free,,,,FALSE,"[56 mi from Wausau; OUTSIDE THE 45-MILE RADIUS - editorial call] [Classic supper club 5 mi east of Neillsville on Hwy 10, motel on the same property. Friday fry repeatedly cited; walleye named. Strong sponsor prospect.]",FALSE
